1575941098501.0	-5.267	-7.573	3.562
1575941098502.0	-5.265	-7.585	3.567
1575941098503.0	-5.253	-7.594	3.572
1575941098524.0	-5.25	-7.592	3.574
1575941098525.0	-5.243	-7.575	3.582
1575941098526.0	-5.245	-7.575	3.584
1575941098527.0	-5.241	-7.57	3.565
1575941098528.0	-5.236	-7.553	3.56
1575941098529.0	-5.234	-7.546	3.562
1575941098530.0	-5.222	-7.541	3.55
1575941098531.0	-5.222	-7.532	3.553
1575941098532.0	-5.217	-7.51	3.553
1575941098533.0	-5.202	-7.498	3.555
1575941098534.0	-5.193	-7.491	3.543
1575941098535.0	-5.193	-7.491	3.543
1575941098570.0	-5.193	-7.482	3.534
1575941098571.0	-5.212	-7.474	3.529
1575941098572.0	-5.226	-7.453	3.503
1575941098573.0	-5.226	-7.45	3.493
1575941098574.0	-5.229	-7.436	3.5
1575941098575.0	-5.241	-7.426	3.491
1575941098576.0	-5.26	-7.438	3.467
1575941098577.0	-5.274	-7.431	3.459
1575941098578.0	-5.284	-7.422	3.448
1575941098579.0	-5.301	-7.426	3.424
1575941098580.0	-5.315	-7.448	3.424
1575941098581.0	-5.308	-7.448	3.426
1575941098582.0	-5.305	-7.448	3.414
1575941098583.0	-5.32	-7.448	3.409
1575941098584.0	-5.324	-7.458	3.409
1575941098585.0	-5.32	-7.465	3.407
1575941098586.0	-5.313	-7.472	3.414
1575941098587.0	-5.31	-7.486	3.419
1575941098588.0	-5.313	-7.479	3.416
1575941098589.0	-5.303	-7.467	3.414
1575941098590.0	-5.293	-7.489	3.419
1575941098591.0	-5.289	-7.503	3.426
1575941098592.0	-5.284	-7.513	3.431
1575941098593.0	-5.272	-7.52	3.44
1575941098594.0	-5.267	-7.51	3.45
1575941098595.0	-5.265	-7.503	3.452
1575941098596.0	-5.253	-7.508	3.45
1575941098597.0	-5.248	-7.544	3.428
1575941098598.0	-5.238	-7.565	3.409
1575941098599.0	-5.234	-7.551	3.404
1575941098600.0	-5.217	-7.553	3.392
1575941098602.0	-5.195	-7.553	3.383
1575941098605.0	-5.193	-7.553	3.388
1575941098607.0	-5.186	-7.563	3.376
1575941098609.0	-5.162	-7.573	3.373
1575941098612.0	-5.14	-7.585	3.392
1575941098615.0	-5.131	-7.596	3.39
1575941098617.0	-5.119	-7.599	3.392
1575941098619.0	-5.121	-7.599	3.38
