1	1575420794715	-0.115	0.128	9.788	Nothing
2	1575420794785	-0.123	0.126	9.785	Nothing
3	1575420794842	-0.118	0.124	9.788	Nothing
4	1575420794910	-0.122	0.129	9.789	Nothing
5	1575420794979	-0.129	0.128	9.787	Nothing
6	1575420795046	-0.12	0.128	9.785	Nothing
7	1575420795115	-0.125	0.127	9.785	Nothing
8	1575420795183	-0.123	0.128	9.79	Nothing
9	1575420795242	-0.118	0.125	9.79	Nothing
10	1575420795310	-0.124	0.125	9.777	Nothing
11	1575420795378	-0.123	0.132	9.799	Nothing
12	1575420795446	-0.12	0.126	9.793	Nothing
13	1575420795515	-0.13	0.119	9.772	Nothing
14	1575420795583	-0.112	0.131	9.796	Nothing
15	1575420795642	-0.122	0.128	9.789	Nothing
16	1575420795710	-0.132	0.127	9.787	Nothing
17	1575420795778	-0.108	0.125	9.782	Nothing
18	1575420795846	-0.128	0.126	9.786	Nothing
19	1575420795914	-0.131	0.131	9.791	Nothing
20	1575420795983	-0.108	0.13	9.787	Nothing
21	1575420796041	-0.128	0.124	9.786	Nothing
22	1575420796109	-0.131	0.13	9.787	Nothing
23	1575420796178	-0.11	0.129	9.788	Nothing
24	1575420796245	-0.131	0.128	9.789	Nothing
25	1575420796314	-0.116	0.122	9.783	Nothing
26	1575420796382	-0.115	0.13	9.786	Nothing
27	1575420796441	-0.13	0.126	9.787	Nothing
28	1575420796509	-0.117	0.125	9.791	Nothing
29	1575420796578	-0.123	0.127	9.797	Nothing
30	1575420796645	-0.125	0.119	9.77	Nothing
31	1575420796714	-0.121	0.125	9.787	Nothing
32	1575420796782	-0.119	0.129	9.791	Nothing
33	1575420796841	-0.12	0.127	9.789	Nothing
34	1575420796909	-0.128	0.122	9.788	Nothing
35	1575420796977	-0.12	0.126	9.783	Nothing
36	1575420797045	-0.118	0.13	9.789	Nothing
37	1575420797114	-0.124	0.129	9.79	Nothing
38	1575420797182	-0.115	0.127	9.79	Nothing
39	1575420797250	-0.127	0.127	9.782	Nothing
40	1575420797309	-0.124	0.128	9.783	Nothing
41	1575420797377	-0.113	0.133	9.798	Nothing
42	1575420797445	-0.126	0.126	9.79	Nothing
43	1575420797513	-0.121	0.123	9.782	Nothing
44	1575420797582	-0.121	0.123	9.775	Nothing
45	1575420797650	-0.134	0.126	9.796	Nothing
46	1575420797708	-0.12	0.135	9.788	Nothing
47	1575420797777	-0.118	0.128	9.786	Nothing
48	1575420797845	-0.124	0.123	9.791	Nothing
49	1575420797913	-0.123	0.125	9.785	Nothing
50	1575420797982	-0.118	0.128	9.779	Nothing
51	1575420798049	-0.117	0.131	9.801	Nothing
52	1575420798109	-0.131	0.125	9.783	Nothing
53	1575420798177	-0.112	0.123	9.785	Nothing
54	1575420798245	-0.122	0.131	9.788	Nothing
55	1575420798313	-0.137	0.128	9.782	Nothing
